generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
753,7.066,0.7,0.327655,0,0.340333,0.142857
754,6.593,0.7,0.330641,0,0.351034,0.142857
755,7.82,0.7,0.349499,0,0.379582,0
756,7.52,0.7,0.339937,0,0.362008,0
757,7.323,0.7,0.327583,0.142857,0.349012,0.142857
758,8.896,0.7,0.368175,0,0.404143,0.142857
759,9.237,0.7,0.434147,0,0.462302,0.142857
760,7.515,0.7,0.396824,0.142857,0.430491,0.142857
761,7.314,0.7,0.346234,0.111111,0.364688,0.142857
762,7.504,0.7,0.38496,0,0.399635,0.142857
763,6.904,0.7,0.329809,0.142857,0.342718,0.142857
764,6.392,0.7,0.348734,0.142857,0.358969,0.142857
765,7.83,0.7,0.384589,0,0.397986,0.111111
766,9.737,0.7,0.416019,0,0.439107,0.142857
767,7.514,0.7,0.352151,0,0.368163,0.142857
768,8.25,0.7,0.408909,0.125,0.427302,0.142857
769,7.442,0.7,0.359433,0,0.382889,0.142857
770,9.168,0.7,0.42371,0,0.455476,0.142857
771,9.067,0.7,0.403639,0.125,0.430341,0.142857
772,8.221,0.7,0.412585,0.125,0.431803,0.142857
773,8.608,0.7,0.411613,0,0.436768,0.142857
774,8.213,0.7,0.399575,0.125,0.409198,0.142857
775,6.966,0.7,0.357202,0,0.370595,0.125
776,7.984,0.7,0.414154,0,0.429095,0.142857
777,8.027,0.7,0.452486,0,0.466173,0.142857
778,8.158,0.7,0.475682,0,0.490167,0.142857
779,7.968,0.7,0.439548,0,0.448743,0.142857
780,8.254,0.7,0.421135,0,0.448251,0.142857
